id,clave,institucion,tipo_cliente,promotor,modo,monto_solicitado,letra_solicitada,plazo_solicitado,itbms_fuera,interes_compuesto,ESPERADO_cuotas,ESPERADO_letra_quincenal,ESPERADO_suma_recibir,ESPERADO_itbms,ESPERADO_intereses,ESPERADO_comision_admin,ESPERADO_comision_promotor,ESPERADO_servicio_descuento,ESPERADO_timbres,ESPERADO_notaria,ESPERADO_feci,ESPERADO_obligacion_neta,ESPERADO_total_pagar,ESPERADO_tir_ref
493,G10,Contraloria General,3,Baja,monto,5000,,24,0,0,24,200.71,5000,89.06,2646.31,1272.27,192.68,289.03,9.7,25,110.26,5089.06,9634.31,0.415649
494,G10,Contraloria General,3,Baja,monto,5000,,60,0,0,60,117.53,5000,89.06,6717.55,1272.27,282.06,423.09,14.2,25,279.9,5089.06,14103.13,0.359167
495,G10,Contraloria General,3,Baja,monto,12000,,24,0,0,24,480.94,12000,213.74,6351.14,3053.44,461.71,692.56,23.1,25,264.63,12213.74,23085.32,0.416756
496,G10,Contraloria General,3,Baja,monto,12000,,60,0,0,60,281.75,12000,213.74,16122.13,3053.44,676.21,1014.31,33.9,25,671.76,12213.74,33810.49,0.359978
497,G10,Contraloria General,3,Baja,letra,,100,24,0,0,24,100,2514.64,44.79,1330.9,639.86,96,144,4.8,25.01,0,2559.43,4800,0.403438
498,G10,Contraloria General,3,Baja,letra,,100,60,0,0,60,100,4344.03,77.37,5836.24,1105.35,240,360,12,25.01,0,4421.4,12000,0.349022
499,G10,Contraloria General,3,Baja,letra,,300,24,0,0,24,300,7480.12,133.23,3958.94,1903.34,288,432,14.4,25.01,164.96,7613.35,14400,0.416294
500,G10,Contraloria General,3,Baja,letra,,300,60,0,0,60,300,12777.74,227.59,17167.03,3251.33,720,1080,36,25.02,715.29,13005.33,36000,0.360023
501,G10,Contraloria General,3,Referido $100,monto,1000,,24,0,0,24,43.5,1000,17.81,529.26,254.45,200,59.64,2,25,0,1017.81,2088.16,0.35018
502,G10,Contraloria General,3,Referido $100,monto,1000,,60,0,0,60,24.4,1000,17.81,1343.5,254.45,200,84.85,2.9,25,0,1017.81,2928.51,0.310185
503,G10,Contraloria General,3,Referido $100,monto,5000,,24,0,0,24,200.81,5000,89.06,2646.31,1272.27,200,286.16,9.6,25,110.26,5089.06,9638.66,0.415386
504,G10,Contraloria General,3,Referido $100,monto,5000,,60,0,0,60,116.79,5000,89.06,6717.55,1272.27,200,417.45,14,25,279.9,5089.06,14015.23,0.363956
505,G10,Contraloria General,3,Referido $100,monto,12000,,24,0,0,24,475.25,12000,213.74,6351.14,3053.44,200,681.36,22.8,25,264.63,12213.74,22812.11,0.425011
506,G10,Contraloria General,3,Referido $100,monto,12000,,60,0,0,60,277.63,12000,213.74,16122.13,3053.44,200,996.47,33.3,25,671.76,12213.74,33315.84,0.371567
507,G10,Contraloria General,3,Referido $100,letra,,100,24,0,0,24,100,2512.42,44.75,1329.72,639.29,200,144,4.8,-74.98,0,2557.17,4800,0.402858
508,G10,Contraloria General,3,Referido $100,letra,,100,60,0,0,60,100,4397.55,78.33,5908.16,1118.97,200,360,12.1,-75.11,0,4475.88,12000,0.358134
509,G10,Contraloria General,3,Referido $100,letra,,300,24,0,0,24,300,7583.22,135.07,4013.51,1929.57,200,432,14.4,-75,167.23,7718.29,14400,0.425786
510,G10,Contraloria General,3,Referido $100,letra,,300,60,0,0,60,300,13009.8,231.73,17478.81,3310.38,200,1080,36,-75,728.28,13241.53,36000,0.374257
511,G10,Contraloria General,4,Completo,monto,1000,,24,0,0,24,40.79,1000,17.81,529.26,254.45,70.48,58.73,2,25,0,1017.81,1957.73,0.387465
512,G10,Contraloria General,4,Completo,monto,1000,,60,0,0,48,26.3,1000,17.81,1058.52,254.45,90.9,75.75,2.6,25,0,1017.81,2525.03,0.345182
513,G10,Contraloria General,4,Completo,monto,5000,,24,0,0,24,204.16,5000,89.06,2646.31,1272.27,352.78,293.98,9.8,25,110.26,5089.06,9799.46,0.40434
514,G10,Contraloria General,4,Completo,monto,5000,,60,0,0,60,119.54,5000,89.06,6717.55,1272.27,516.42,430.35,14.4,25,279.9,5089.06,14344.95,0.346538
515,G10,Contraloria General,4,Completo,monto,12000,,24,0,0,24,489.19,12000,213.74,6351.14,3053.44,845.32,704.44,23.5,25,264.63,12213.74,23481.21,0.405362
516,G10,Contraloria General,4,Completo,monto,12000,,60,0,0,60,286.58,12000,213.74,16122.13,3053.44,1238.05,1031.71,34.4,25,671.76,12213.74,34390.23,0.347323
517,G10,Contraloria General,4,Completo,letra,,100,24,0,0,24,100,2472.01,44.03,1308.34,629.01,172.8,144,4.8,25.01,0,2516.04,4800,0.392486
518,G10,Contraloria General,4,Completo,letra,,100,60,0,0,48,100,3832.09,68.26,4056.36,975.09,345.6,288,9.6,25,0,3900.35,9600,0.350414
519,G10,Contraloria General,4,Completo,letra,,300,24,0,0,24,300,7353.78,130.98,3892.07,1871.19,518.4,432,14.4,25.01,162.17,7484.76,14400,0.404892
520,G10,Contraloria General,4,Completo,letra,,300,60,0,0,48,300,11303.83,201.34,11965.37,2876.29,1036.8,864,28.8,25.01,498.56,11505.17,28800,0.361372
521,G10,Contraloria General,4,Baja,monto,1000,,24,0,0,24,39.68,1000,17.81,529.26,254.45,19.05,57.14,2,25,0,1017.81,1904.71,0.404811
522,G10,Contraloria General,4,Baja,monto,1000,,60,0,0,48,25.59,1000,17.81,1058.52,254.45,24.56,73.69,2.5,25,0,1017.81,2456.53,0.3638
523,G10,Contraloria General,4,Baja,monto,5000,,24,0,0,24,198.62,5000,89.06,2646.31,1272.27,95.34,286.01,9.6,25,110.26,5089.06,9533.85,0.422889
524,G10,Contraloria General,4,Baja,monto,5000,,60,0,0,60,116.3,5000,89.06,6717.55,1272.27,139.56,418.68,14,25,279.9,5089.06,13956.02,0.367298
525,G10,Contraloria General,4,Baja,monto,12000,,24,0,0,24,475.93,12000,213.74,6351.14,3053.44,228.45,685.34,22.9,25,264.63,12213.74,22844.64,0.424016
526,G10,Contraloria General,4,Baja,monto,12000,,60,0,0,60,278.82,12000,213.74,16122.13,3053.44,334.58,1003.74,33.5,25,671.76,12213.74,33457.89,0.368173
527,G10,Contraloria General,4,Baja,letra,,100,24,0,0,24,100,2541.29,45.26,1345,646.64,48,144,4.8,25.01,0,2586.55,4800,0.410403
528,G10,Contraloria General,4,Baja,letra,,100,60,0,0,48,100,3939.18,70.16,4169.71,1002.33,96,288,9.6,25.02,0,4009.34,9600,0.369427
529,G10,Contraloria General,4,Baja,letra,,300,24,0,0,24,300,7559.09,134.64,4000.73,1923.43,144,432,14.4,25.01,166.7,7693.73,14400,0.423548
530,G10,Contraloria General,4,Baja,letra,,300,60,0,0,48,300,11619.13,206.96,12299.13,2956.52,288,864,28.8,25,512.46,11826.09,28800,0.381294
531,G10,Contraloria General,4,Referido $100,monto,1000,,24,0,0,24,43.5,1000,17.81,529.26,254.45,200,59.64,2,25,0,1017.81,2088.16,0.35018
532,G10,Contraloria General,4,Referido $100,monto,1000,,60,0,0,48,27.44,1000,17.81,1058.52,254.45,200,76.03,2.6,25,0,1017.81,2634.41,0.319321
533,G10,Contraloria General,4,Referido $100,monto,5000,,24,0,0,24,200.81,5000,89.06,2646.31,1272.27,200,286.16,9.6,25,110.26,5089.06,9638.66,0.415386
534,G10,Contraloria General,4,Referido $100,monto,5000,,60,0,0,60,116.79,5000,89.06,6717.55,1272.27,200,417.45,14,25,279.9,5089.06,14015.23,0.363956
535,G10,Contraloria General,4,Referido $100,monto,12000,,24,0,0,24,475.25,12000,213.74,6351.14,3053.44,200,681.36,22.8,25,264.63,12213.74,22812.11,0.425011
536,G10,Contraloria General,4,Referido $100,monto,12000,,60,0,0,60,277.63,12000,213.74,16122.13,3053.44,200,996.47,33.3,25,671.76,12213.74,33315.84,0.371567
537,G10,Contraloria General,4,Referido $100,letra,,100,24,0,0,24,100,2512.42,44.75,1329.72,639.29,200,144,4.8,-74.98,0,2557.17,4800,0.402858
538,G10,Contraloria General,4,Referido $100,letra,,100,60,0,0,48,100,3937.47,70.13,4167.9,1001.9,200,288,9.6,-75,0,4007.6,9600,0.369116
539,G10,Contraloria General,4,Referido $100,letra,,300,24,0,0,24,300,7583.22,135.07,4013.51,1929.57,200,432,14.4,-75,167.23,7718.29,14400,0.425786
540,G10,Contraloria General,4,Referido $100,letra,,300,60,0,0,48,300,11698.29,208.37,12382.92,2976.67,200,864,28.9,-75.11,515.96,11906.66,28800,0.386475
541,G10,Contraloria General,5,Completo,monto,1000,,24,0,0,24,40.79,1000,17.81,529.26,254.45,70.48,58.73,2,25,0,1017.81,1957.73,0.387465
542,G10,Contraloria General,5,Completo,monto,1000,,60,0,0,36,31.13,1000,17.81,793.89,254.45,80.69,67.24,2.3,25,0,1017.81,2241.38,0.3646
543,G10,Contraloria General,5,Completo,monto,5000,,24,0,0,24,204.16,5000,89.06,2646.31,1272.27,352.78,293.98,9.8,25,110.26,5089.06,9799.46,0.40434
544,G10,Contraloria General,5,Completo,monto,5000,,60,0,0,60,119.54,5000,89.06,6717.55,1272.27,516.42,430.35,14.4,25,279.9,5089.06,14344.95,0.346538
545,G10,Contraloria General,5,Completo,monto,12000,,24,0,0,24,489.19,12000,213.74,6351.14,3053.44,845.32,704.44,23.5,25,264.63,12213.74,23481.21,0.405362
546,G10,Contraloria General,5,Completo,monto,12000,,60,0,0,60,286.58,12000,213.74,16122.13,3053.44,1238.05,1031.71,34.4,25,671.76,12213.74,34390.23,0.347323
547,G10,Contraloria General,5,Completo,letra,,100,24,0,0,24,100,2472.01,44.03,1308.34,629.01,172.8,144,4.8,25.01,0,2516.04,4800,0.392486
548,G10,Contraloria General,5,Completo,letra,,100,60,0,0,36,100,3239.15,57.69,2571.53,824.21,259.2,216,7.2,25.02,0,3296.84,7200,0.369929
549,G10,Contraloria General,5,Completo,letra,,300,24,0,0,24,300,7353.78,130.98,3892.07,1871.19,518.4,432,14.4,25.01,162.17,7484.76,14400,0.404892
550,G10,Contraloria General,5,Completo,letra,,300,60,0,0,36,300,9588.15,170.78,7611.96,2439.73,777.6,648,21.6,25.01,317.17,9758.93,21600,0.381614
551,G10,Contraloria General,5,Baja,monto,1000,,24,0,0,24,39.68,1000,17.81,529.26,254.45,19.05,57.14,2,25,0,1017.81,1904.71,0.404811
552,G10,Contraloria General,5,Baja,monto,1000,,60,0,0,36,30.29,1000,17.81,793.89,254.45,21.81,65.42,2.2,25,0,1017.81,2180.58,0.382734
553,G10,Contraloria General,5,Baja,monto,5000,,24,0,0,24,198.62,5000,89.06,2646.31,1272.27,95.34,286.01,9.6,25,110.26,5089.06,9533.85,0.422889
554,G10,Contraloria General,5,Baja,monto,5000,,60,0,0,60,116.3,5000,89.06,6717.55,1272.27,139.56,418.68,14,25,279.9,5089.06,13956.02,0.367298
555,G10,Contraloria General,5,Baja,monto,12000,,24,0,0,24,475.93,12000,213.74,6351.14,3053.44,228.45,685.34,22.9,25,264.63,12213.74,22844.64,0.424016
556,G10,Contraloria General,5,Baja,monto,12000,,60,0,0,60,278.82,12000,213.74,16122.13,3053.44,334.58,1003.74,33.5,25,671.76,12213.74,33457.89,0.368173
557,G10,Contraloria General,5,Baja,letra,,100,24,0,0,24,100,2541.29,45.26,1345,646.64,48,144,4.8,25.01,0,2586.55,4800,0.410403
558,G10,Contraloria General,5,Baja,letra,,100,60,0,0,36,100,3329.76,59.31,2643.47,847.27,72,216,7.3,24.89,0,3389.07,7200,0.388413
559,G10,Contraloria General,5,Baja,letra,,300,24,0,0,24,300,7559.09,134.64,4000.73,1923.43,144,432,14.4,25.01,166.7,7693.73,14400,0.423548
560,G10,Contraloria General,5,Baja,letra,,300,60,0,0,36,300,9855.68,175.55,7824.35,2507.81,216,648,21.7,24.9,326.01,10031.23,21600,0.400928
561,G10,Contraloria General,5,Referido $100,monto,1000,,24,0,0,24,43.5,1000,17.81,529.26,254.45,200,59.64,2,25,0,1017.81,2088.16,0.35018
562,G10,Contraloria General,5,Referido $100,monto,1000,,60,0,0,36,32.79,1000,17.81,793.89,254.45,200,67.84,2.3,25,0,1017.81,2361.29,0.333568
563,G10,Contraloria General,5,Referido $100,monto,5000,,24,0,0,24,200.81,5000,89.06,2646.31,1272.27,200,286.16,9.6,25,110.26,5089.06,9638.66,0.415386
564,G10,Contraloria General,5,Referido $100,monto,5000,,60,0,0,60,116.79,5000,89.06,6717.55,1272.27,200,417.45,14,25,279.9,5089.06,14015.23,0.363956
565,G10,Contraloria General,5,Referido $100,monto,12000,,24,0,0,24,475.25,12000,213.74,6351.14,3053.44,200,681.36,22.8,25,264.63,12213.74,22812.11,0.425011
566,G10,Contraloria General,5,Referido $100,monto,12000,,60,0,0,60,277.63,12000,213.74,16122.13,3053.44,200,996.47,33.3,25,671.76,12213.74,33315.84,0.371567
567,G10,Contraloria General,5,Referido $100,letra,,100,24,0,0,24,100,2512.42,44.75,1329.72,639.29,200,144,4.8,-74.98,0,2557.17,4800,0.402858
568,G10,Contraloria General,5,Referido $100,letra,,100,60,0,0,36,100,3316.2,59.07,2632.71,843.82,200,216,7.2,-75,0,3375.27,7200,0.385595
569,G10,Contraloria General,5,Referido $100,letra,,300,24,0,0,24,300,7583.22,135.07,4013.51,1929.57,200,432,14.4,-75,167.23,7718.29,14400,0.425786
570,G10,Contraloria General,5,Referido $100,letra,,300,60,0,0,36,300,9910.94,176.53,7868.22,2521.87,200,648,21.7,-75.1,327.84,10087.47,21600,0.405031
571,G10,Contraloria General,6,Completo,monto,1000,,24,0,0,24,41.32,1000,17.81,529.26,254.45,95.19,59.5,2,25,0,1017.81,1983.21,0.37958
572,G10,Contraloria General,6,Completo,monto,1000,,60,0,0,60,23.89,1000,17.81,1343.5,254.45,137.63,86.02,2.9,25,0,1017.81,2867.31,0.323371
573,G10,Contraloria General,6,Completo,monto,5000,,24,0,0,24,206.82,5000,89.06,2646.31,1272.27,476.5,297.81,10,25,110.26,5089.06,9927.21,0.395973
574,G10,Contraloria General,6,Completo,monto,5000,,60,0,0,60,121.1,5000,89.06,6717.55,1272.27,697.53,435.95,14.6,25,279.9,5089.06,14531.86,0.337421
575,G10,Contraloria General,6,Completo,monto,12000,,24,0,0,24,495.57,12000,213.74,6351.14,3053.44,1141.78,713.61,23.8,25,264.63,12213.74,23787.14,0.396989
576,G10,Contraloria General,6,Completo,monto,12000,,60,0,0,60,290.32,12000,213.74,16122.13,3053.44,1672.24,1045.15,34.9,25,671.76,12213.74,34838.36,0.338172
577,G10,Contraloria General,6,Completo,letra,,100,24,0,0,24,100,2440.04,43.46,1291.42,620.88,230.4,144,4.8,25,0,2483.5,4800,0.384426
578,G10,Contraloria General,6,Completo,letra,,100,60,0,0,60,100,4215.57,75.09,5663.67,1072.67,576,360,12,25,0,4290.66,12000,0.328203
579,G10,Contraloria General,6,Completo,letra,,300,24,0,0,24,300,7259.02,129.3,3841.92,1847.08,691.2,432,14.5,24.9,160.08,7388.32,14400,0.396505
580,G10,Contraloria General,6,Completo,letra,,300,60,0,0,60,300,12400.46,220.87,16660.15,3155.33,1728,1080,36,25.02,694.17,12621.33,36000,0.33819
581,G10,Contraloria General,6,Baja,monto,1000,,24,0,0,24,40.1,1000,17.81,529.26,254.45,38.49,57.74,2,25,0,1017.81,1924.75,0.398083
582,G10,Contraloria General,6,Baja,monto,1000,,60,0,0,60,23.19,1000,17.81,1343.5,254.45,55.65,83.48,2.8,25,0,1017.81,2782.69,0.343774
583,G10,Contraloria General,6,Baja,monto,5000,,24,0,0,24,200.71,5000,89.06,2646.31,1272.27,192.68,289.03,9.7,25,110.26,5089.06,9634.31,0.415649
584,G10,Contraloria General,6,Baja,monto,5000,,60,0,0,60,117.53,5000,89.06,6717.55,1272.27,282.06,423.09,14.2,25,279.9,5089.06,14103.13,0.359167
585,G10,Contraloria General,6,Baja,monto,12000,,24,0,0,24,480.94,12000,213.74,6351.14,3053.44,461.71,692.56,23.1,25,264.63,12213.74,23085.32,0.416756
586,G10,Contraloria General,6,Baja,monto,12000,,60,0,0,60,281.75,12000,213.74,16122.13,3053.44,676.21,1014.31,33.9,25,671.76,12213.74,33810.49,0.359978
587,G10,Contraloria General,6,Baja,letra,,100,24,0,0,24,100,2514.64,44.79,1330.9,639.86,96,144,4.8,25.01,0,2559.43,4800,0.403438
588,G10,Contraloria General,6,Baja,letra,,100,60,0,0,60,100,4344.03,77.37,5836.24,1105.35,240,360,12,25.01,0,4421.4,12000,0.349022
589,G10,Contraloria General,6,Baja,letra,,300,24,0,0,24,300,7480.12,133.23,3958.94,1903.34,288,432,14.4,25.01,164.96,7613.35,14400,0.416294
590,G10,Contraloria General,6,Baja,letra,,300,60,0,0,60,300,12777.74,227.59,17167.03,3251.33,720,1080,36,25.02,715.29,13005.33,36000,0.360023
591,G10,Contraloria General,6,Referido $100,monto,1000,,24,0,0,24,43.5,1000,17.81,529.26,254.45,200,59.64,2,25,0,1017.81,2088.16,0.35018
592,G10,Contraloria General,6,Referido $100,monto,1000,,60,0,0,60,24.4,1000,17.81,1343.5,254.45,200,84.85,2.9,25,0,1017.81,2928.51,0.310185
593,G10,Contraloria General,6,Referido $100,monto,5000,,24,0,0,24,200.81,5000,89.06,2646.31,1272.27,200,286.16,9.6,25,110.26,5089.06,9638.66,0.415386
594,G10,Contraloria General,6,Referido $100,monto,5000,,60,0,0,60,116.79,5000,89.06,6717.55,1272.27,200,417.45,14,25,279.9,5089.06,14015.23,0.363956
595,G10,Contraloria General,6,Referido $100,monto,12000,,24,0,0,24,475.25,12000,213.74,6351.14,3053.44,200,681.36,22.8,25,264.63,12213.74,22812.11,0.425011
596,G10,Contraloria General,6,Referido $100,monto,12000,,60,0,0,60,277.63,12000,213.74,16122.13,3053.44,200,996.47,33.3,25,671.76,12213.74,33315.84,0.371567
597,G10,Contraloria General,6,Referido $100,letra,,100,24,0,0,24,100,2512.42,44.75,1329.72,639.29,200,144,4.8,-74.98,0,2557.17,4800,0.402858
598,G10,Contraloria General,6,Referido $100,letra,,100,60,0,0,60,100,4397.55,78.33,5908.16,1118.97,200,360,12.1,-75.11,0,4475.88,12000,0.358134
599,G10,Contraloria General,6,Referido $100,letra,,300,24,0,0,24,300,7583.22,135.07,4013.51,1929.57,200,432,14.4,-75,167.23,7718.29,14400,0.425786
600,G10,Contraloria General,6,Referido $100,letra,,300,60,0,0,60,300,13009.8,231.73,17478.81,3310.38,200,1080,36,-75,728.28,13241.53,36000,0.374257
601,G10,Contraloria General,7,Completo,monto,1000,,24,0,0,11,75.09,1000,17.81,244.27,254.45,59.48,49.57,1.7,25,0,1017.81,1652.28,0.432071
602,G10,Contraloria General,7,Completo,monto,1000,,60,0,0,11,75.09,1000,17.81,244.27,254.45,59.48,49.57,1.7,25,0,1017.81,1652.28,0.432071
603,G10,Contraloria General,7,Completo,monto,5000,,24,0,0,24,204.16,5000,89.06,2646.31,1272.27,352.78,293.98,9.8,25,110.26,5089.06,9799.46,0.40434
604,G10,Contraloria General,7,Completo,monto,5000,,60,0,0,60,119.54,5000,89.06,6717.55,1272.27,516.42,430.35,14.4,25,279.9,5089.06,14344.95,0.346538
605,G10,Contraloria General,7,Completo,monto,12000,,24,0,0,24,489.19,12000,213.74,6351.14,3053.44,845.32,704.44,23.5,25,264.63,12213.74,23481.21,0.405362
606,G10,Contraloria General,7,Completo,monto,12000,,60,0,0,60,286.58,12000,213.74,16122.13,3053.44,1238.05,1031.71,34.4,25,671.76,12213.74,34390.23,0.347323
607,G10,Contraloria General,7,Completo,letra,,100,24,0,0,11,100,1336.99,23.81,326.59,340.2,79.2,66,2.2,25.01,0,1360.8,2200,0.434898
608,G10,Contraloria General,7,Completo,letra,,100,60,0,0,11,100,1336.99,23.81,326.59,340.2,79.2,66,2.2,25.01,0,1360.8,2200,0.434898
609,G10,Contraloria General,7,Completo,letra,,300,24,0,0,11,300,4043.94,72.03,987.83,1028.99,237.6,198,6.6,25.01,0,4115.97,6600,0.440048
610,G10,Contraloria General,7,Completo,letra,,300,60,0,0,11,300,4043.94,72.03,987.83,1028.99,237.6,198,6.6,25.01,0,4115.97,6600,0.440048
611,G10,Contraloria General,7,Baja,monto,1000,,24,0,0,11,73.84,1000,17.81,244.27,254.45,32.49,48.73,1.7,25,0,1017.81,1624.45,0.443046
612,G10,Contraloria General,7,Baja,monto,1000,,60,0,0,11,73.84,1000,17.81,244.27,254.45,32.49,48.73,1.7,25,0,1017.81,1624.45,0.443046
613,G10,Contraloria General,7,Baja,monto,5000,,24,0,0,24,200.71,5000,89.06,2646.31,1272.27,192.68,289.03,9.7,25,110.26,5089.06,9634.31,0.415649
614,G10,Contraloria General,7,Baja,monto,5000,,60,0,0,60,117.53,5000,89.06,6717.55,1272.27,282.06,423.09,14.2,25,279.9,5089.06,14103.13,0.359167
615,G10,Contraloria General,7,Baja,monto,12000,,24,0,0,24,480.94,12000,213.74,6351.14,3053.44,461.71,692.56,23.1,25,264.63,12213.74,23085.32,0.416756
616,G10,Contraloria General,7,Baja,monto,12000,,60,0,0,60,281.75,12000,213.74,16122.13,3053.44,676.21,1014.31,33.9,25,671.76,12213.74,33810.49,0.359978
617,G10,Contraloria General,7,Baja,letra,,100,24,0,0,11,100,1360.2,24.23,332.26,346.11,44,66,2.3,24.9,0,1384.43,2200,0.445818
618,G10,Contraloria General,7,Baja,letra,,100,60,0,0,11,100,1360.2,24.23,332.26,346.11,44,66,2.3,24.9,0,1384.43,2200,0.445818
619,G10,Contraloria General,7,Baja,letra,,300,24,0,0,11,300,4113.58,73.27,1004.84,1046.71,132,198,6.7,24.9,0,4186.85,6600,0.451044
620,G10,Contraloria General,7,Baja,letra,,300,60,0,0,11,300,4113.58,73.27,1004.84,1046.71,132,198,6.7,24.9,0,4186.85,6600,0.451044
621,G10,Contraloria General,7,Referido $100,monto,1000,,24,0,0,11,81.55,1000,17.81,244.27,254.45,200,50.82,1.7,25,0,1017.81,1794.05,0.385052
622,G10,Contraloria General,7,Referido $100,monto,1000,,60,0,0,11,81.55,1000,17.81,244.27,254.45,200,50.82,1.7,25,0,1017.81,1794.05,0.385052
623,G10,Contraloria General,7,Referido $100,monto,5000,,24,0,0,24,200.81,5000,89.06,2646.31,1272.27,200,286.16,9.6,25,110.26,5089.06,9638.66,0.415386
624,G10,Contraloria General,7,Referido $100,monto,5000,,60,0,0,60,116.79,5000,89.06,6717.55,1272.27,200,417.45,14,25,279.9,5089.06,14015.23,0.363956
625,G10,Contraloria General,7,Referido $100,monto,12000,,24,0,0,24,475.25,12000,213.74,6351.14,3053.44,200,681.36,22.8,25,264.63,12213.74,22812.11,0.425011
626,G10,Contraloria General,7,Referido $100,monto,12000,,60,0,0,60,277.63,12000,213.74,16122.13,3053.44,200,996.47,33.3,25,671.76,12213.74,33315.84,0.371567
627,G10,Contraloria General,7,Referido $100,letra,,100,24,0,0,11,100,1323.28,23.57,323.24,336.71,200,66,2.3,-75.1,0,1346.85,2200,0.428525
628,G10,Contraloria General,7,Referido $100,letra,,100,60,0,0,11,100,1323.28,23.57,323.24,336.71,200,66,2.3,-75.1,0,1346.85,2200,0.428525
629,G10,Contraloria General,7,Referido $100,letra,,300,24,0,0,11,300,4134.68,73.65,1009.99,1052.08,200,198,6.6,-75,0,4208.33,6600,0.454408
630,G10,Contraloria General,7,Referido $100,letra,,300,60,0,0,11,300,4134.68,73.65,1009.99,1052.08,200,198,6.6,-75,0,4208.33,6600,0.454408
631,G11,Contraloria General,1,Completo,monto,1000,,24,0,0,24,37.97,1000,25.12,266.53,358.79,91.16,54.69,1.9,25,0,1025.12,1823.19,0.305772
632,G11,Contraloria General,1,Completo,monto,1000,,60,0,0,60,18.91,1000,25.12,676.57,358.79,113.46,68.08,2.3,25,0,1025.12,2269.32,0.225254
633,G11,Contraloria General,1,Completo,monto,5000,,24,0,0,24,190.16,5000,125.58,1332.65,1793.95,456.38,273.83,9.2,25,111.05,5125.58,9127.64,0.321633
634,G11,Contraloria General,1,Completo,monto,5000,,60,0,0,60,96.2,5000,125.58,3382.88,1793.95,577.22,346.33,11.6,25,281.91,5125.58,11544.47,0.239196
635,G11,Contraloria General,1,Completo,monto,12000,,24,0,0,24,455.59,12000,301.38,3198.35,4305.48,1093.4,656.04,21.9,25,266.53,12301.38,21868.08,0.322477
636,G11,Contraloria General,1,Completo,monto,12000,,60,0,0,60,230.57,12000,301.38,8118.91,4305.48,1383.42,830.05,27.7,25,676.58,12301.38,27668.52,0.239775
637,G11,Contraloria General,1,Completo,letra,,100,24,0,0,24,100,2657.6,66.75,708.33,953.52,240,144,4.8,25,0,2724.35,4800,0.310314
638,G11,Contraloria General,1,Completo,letra,,100,60,0,0,60,100,5197.79,130.54,3516.69,1864.92,600,360,12,25,293.06,5328.33,12000,0.239252
639,G11,Contraloria General,1,Completo,letra,,300,24,0,0,24,300,7896.83,198.33,2104.74,2833.31,720,432,14.5,24.89,175.4,8095.16,14400,0.322159
640,G11,Contraloria General,1,Completo,letra,,300,60,0,0,60,300,15616.98,392.23,10566.07,5603.22,1800,1080,36.1,24.89,880.51,16009.21,36000,0.23987
641,G11,Contraloria General,1,Baja,monto,1000,,24,0,0,24,36.78,1000,25.12,266.53,358.79,35.31,52.96,1.8,25,0,1025.12,1765.51,0.320892
642,G11,Contraloria General,1,Baja,monto,1000,,60,0,0,60,18.3,1000,25.12,676.57,358.79,43.95,65.93,2.2,25,0,1025.12,2197.56,0.237428
643,G11,Contraloria General,1,Baja,monto,5000,,24,0,0,24,184.15,5000,125.58,1332.65,1793.95,176.78,265.17,8.9,25,111.05,5125.58,8839.08,0.337518
644,G11,Contraloria General,1,Baja,monto,5000,,60,0,0,60,93.16,5000,125.58,3382.88,1793.95,223.59,335.38,11.2,25,281.91,5125.58,11179.49,0.252836
645,G11,Contraloria General,1,Baja,monto,12000,,24,0,0,24,441.18,12000,301.38,3198.35,4305.48,423.54,635.3,21.2,25,266.53,12301.38,21176.78,0.338394
646,G11,Contraloria General,1,Baja,monto,12000,,60,0,0,60,223.28,12000,301.38,8118.91,4305.48,535.88,803.82,26.8,25,676.58,12301.38,26793.85,0.253454
647,G11,Contraloria General,1,Baja,letra,,100,24,0,0,24,100,2744.85,68.94,731.58,984.83,96,144,4.8,25,0,2813.79,4800,0.325526
648,G11,Contraloria General,1,Baja,letra,,100,60,0,0,60,100,5367.85,134.82,3631.76,1925.93,240,360,12.1,24.89,302.65,5502.67,12000,0.252921
649,G11,Contraloria General,1,Baja,letra,,300,24,0,0,24,300,8155.1,204.82,2173.57,2925.97,288,432,14.4,25.01,181.13,8359.92,14400,0.338099
650,G11,Contraloria General,1,Baja,letra,,300,60,0,0,60,300,16127.16,405.04,10911.25,5786.27,720,1080,36,25.01,909.27,16532.2,36000,0.25357
651,G11,Contraloria General,1,Referido $100,monto,1000,,24,0,0,24,40.26,1000,25.12,266.53,358.79,200,54.97,1.9,25,0,1025.12,1932.31,0.281516
652,G11,Contraloria General,1,Referido $100,monto,1000,,60,0,0,60,19.63,1000,25.12,676.57,358.79,200,67.66,2.3,25,0,1025.12,2355.44,0.212001
653,G11,Contraloria General,1,Referido $100,monto,5000,,24,0,0,24,184.58,5000,125.58,1332.65,1793.95,200,262.79,8.8,25,111.05,5125.58,8859.82,0.336315
654,G11,Contraloria General,1,Referido $100,monto,5000,,60,0,0,60,92.93,5000,125.58,3382.88,1793.95,200,331.56,11.1,25,281.91,5125.58,11151.98,0.253925
655,G11,Contraloria General,1,Referido $100,monto,12000,,24,0,0,24,436.31,12000,301.38,3198.35,4305.48,200,625.29,20.9,25,266.53,12301.38,20942.93,0.344153
656,G11,Contraloria General,1,Referido $100,monto,12000,,60,0,0,60,220.37,12000,301.38,8118.91,4305.48,200,790.32,26.4,25,676.58,12301.38,26444.07,0.259397
